Dataset,Analyte,Model,Parameter,Value,k (Ritger-Peppas),Slope,Intercept,R^2 (transformed),RMSE in F-space,RRMSE in F-space (%)
EPSRawData,PO4,Higuchi Model,k_H (Higuchi constant),0.1179769367785615,,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542
EPSRawData,PO4,First-Order Model,k (first-order),0.036026665083275504,,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848
EPSRawData,PO4,Ritger-Peppas Model,n (release exponent),0.3662567278235827,0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239
EPSRawData,PO4,Elovich Model,slope (1/beta),0.13743704452405003,,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476
EPSRawData,Mg,Higuchi Model,k_H (Higuchi constant),0.15006305803168243,,0.15006305803168243,0.08619380195127788,0.9769100444191343,0.038985434665979674,8.11826404602826
EPSRawData,Mg,Ritger-Peppas Model,n (release exponent),0.3653831854790194,0.24415676710728837,0.3653831854790194,-0.612331234203427,0.9658031359198211,0.05581873215230173,11.623602768814361
EPSRawData,Mg,Elovich Model,slope (1/beta),0.17452566802471983,,0.17452566802471983,0.22013406419916928,0.8614803797203604,0.09548749013810186,19.884160961019013
EPSRawData,Mg,First-Order Model,k (first-order),0.10750441778505102,,-0.10750441778505102,-0.014095179282385344,0.8518768322815055,0.10875506971788573,22.64698033710693
EPSRawData,NH4,First-Order Model,k (first-order),0.05396130878162242,,-0.05396130878162242,-0.1728789869818759,0.9848306213951082,0.031233870593685164,7.321800362637802
EPSRawData,NH4,Higuchi Model,k_H (Higuchi constant),0.14018760282512607,,0.14018760282512607,0.05849252597857335,0.9785671854940764,0.03505889429925321,8.21845708248054
EPSRawData,NH4,Ritger-Peppas Model,n (release exponent),0.385485233635334,0.20726214867989654,0.385485233635334,-0.6834800038415784,0.9614569865964456,0.049289329955030395,11.55433595258218
EPSRawData,NH4,Elovich Model,slope (1/beta),0.16309589983251585,,0.16309589983251585,0.18353558600098205,0.8635297382378362,0.08846625128944974,20.738135186589968
SNAHCO3RawData,PO4,Higuchi Model,k_H (Higuchi constant),0.09097634114746063,,0.09097634114746063,0.23552975636614734,0.9928077536091181,0.01710380071306922,3.286319787613727
SNAHCO3RawData,PO4,Ritger-Peppas Model,n (release exponent),0.23849147186935918,0.32176903659479167,0.23849147186935918,-0.49245574980506557,0.9807141183666589,0.03352407121557709,6.441306259663089
SNAHCO3RawData,PO4,First-Order Model,k (first-order),0.03506523235941262,,-0.03506523235941262,-0.35786801393226125,0.9735661630196949,0.03136217913338376,6.025920881431417
SNAHCO3RawData,PO4,Elovich Model,slope (1/beta),0.12339966561339287,,0.12339966561339287,0.30923990524866546,0.9243905853227848,0.05545596758588568,10.655295081841382
SNAHCO3RawData,Mg,First-Order Model,k (first-order),0.06986566759019877,,-0.06986566759019877,-0.5090858516058665,0.9911893601248539,0.03541960781932321,5.766434193737805
SNAHCO3RawData,Mg,Ritger-Peppas Model,n (release exponent),0.23136083469493599,0.4200330758070163,0.23136083469493599,-0.3767165094238142,0.9872828454682904,0.017423689110325026,2.836636621708226
SNAHCO3RawData,Mg,Higuchi Model,k_H (Higuchi constant),0.1124502967726229,,0.1124502967726229,0.323045260370252,0.977116817427445,0.030893895994437003,5.029632714987666
SNAHCO3RawData,Mg,Elovich Model,slope (1/beta),0.14046169233170452,,0.14046169233170452,0.4171529330077354,0.9746567434957104,0.03251214902480696,5.293089884136622
SNAHCO3RawData,NH4,Higuchi Model,k_H (Higuchi constant),0.1027655214326819,,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046
SNAHCO3RawData,NH4,Ritger-Peppas Model,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707
SNAHCO3RawData,NH4,Elovich Model,slope (1/beta),0.1395660500205335,,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418
SNAHCO3RawData,NH4,First-Order Model,k (first-order),0.10328829490229048,,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454
