Time,Mg_1,Mg_2,Mg_3,NH4_1,NH4_2,NH4_3,PO4_1,PO4_2,PO4_3,Mg_1_corr,Mg_2_corr,Mg_3_corr,Mg_avg,Mg_pct,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,33.0,34.0,34.0,23.2,24.4,22.1,0.97,0.95,0.97,33.0,34.0,34.0,33.66666667,34.00673401,0.3400673401
1.0,44.0,43.0,45.0,28.3,27.6,27.4,1.06,1.09,1.07,44.0,43.0,45.0,44.0,44.44444444,0.4444444444
2.0,52.0,51.0,50.0,36.4,31.7,32.0,1.21,1.22,1.19,52.0,51.0,50.0,51.0,51.51515152,0.5151515152
4.0,52.0,57.0,55.0,33.6,31.5,33.3,1.38,1.4,1.4,52.0,57.0,55.0,54.66666667,55.21885522,0.5521885522
6.0,59.0,68.0,61.0,38.3,40.5,37.4,1.6,1.61,1.56,59.0,68.0,61.0,62.66666667,63.2996633,0.632996633
24.0,85.0,86.0,89.0,57.0,55.8,58.2,2.21,2.0,2.2,85.0,86.0,89.0,86.66666667,87.54208755,0.8754208755
32.0,98.0,87.0,94.0,57.5,62.3,60.6,2.48,2.41,2.45,98.0,87.0,94.0,93.0,93.93939394,0.9393939394
48.0,99.0,99.0,99.0,73.5,73.2,73.5,2.92,2.94,2.93,99.0,99.0,99.0,99.0,100.0,1.0
72.0,,,,73.5,73.5,73.5,3.3,3.3,3.3,,,,,,
