Dataset,Analyte,Time,Mg_1,Mg_2,Mg_3,NH4_1,NH4_2,NH4_3,PO4_1,PO4_2,PO4_3,NH4_1_corr,NH4_2_corr,NH4_3_corr,NH4_avg,NH4_pct,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F,higuchi_model__Parameter,higuchi_model__Value,higuchi_model__Slope,higuchi_model__Intercept,higuchi_model__R_2_transformed,higuchi_model__RMSE_in_F_space,higuchi_model__RRMSE_in_F_space,ritger_peppas_model__Parameter,ritger_peppas_model__Value,ritger_peppas_model__k_Ritger_Peppas,ritger_peppas_model__Slope,ritger_peppas_model__Intercept,ritger_peppas_model__R_2_transformed,ritger_peppas_model__RMSE_in_F_space,ritger_peppas_model__RRMSE_in_F_space,elovich_model__Parameter,elovich_model__Value,elovich_model__Slope,elovich_model__Intercept,elovich_model__R_2_transformed,elovich_model__RMSE_in_F_space,elovich_model__RRMSE_in_F_space,first_order_model__Parameter,first_order_model__Value,first_order_model__Slope,first_order_model__Intercept,first_order_model__R_2_transformed,first_order_model__RMSE_in_F_space,first_order_model__RRMSE_in_F_space,Best_Model,Best_Model_Parameter,Best_Model_Value
SNAHCO3RawData,NH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,k_H (Higuchi constant),0.1027655214326819,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707,slope (1/beta),0.1395660500205335,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418,k (first-order),0.10328829490229048,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454,Higuchi Model,k_H (Higuchi constant),0.1027655214326819
SNAHCO3RawData,NH4,0.5,33.0,34.0,34.0,23.2,24.4,22.1,0.97,0.95,0.97,23.2,24.4,22.1,23.23333333,31.60997732,0.3160997732,0.6839002268000001,-0.37994323925071066,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.5001758157644185,k_H (Higuchi constant),0.1027655214326819,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707,slope (1/beta),0.1395660500205335,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418,k (first-order),0.10328829490229048,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454,Higuchi Model,k_H (Higuchi constant),0.1027655214326819
SNAHCO3RawData,NH4,1.0,44.0,43.0,45.0,28.3,27.6,27.4,1.06,1.09,1.07,28.3,27.6,27.4,27.76666667,37.77777778,0.3777777778,0.6222222222,-0.4744579796308301,1.0,0.0,0.0,-0.422763592371523,k_H (Higuchi constant),0.1027655214326819,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707,slope (1/beta),0.1395660500205335,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418,k (first-order),0.10328829490229048,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454,Higuchi Model,k_H (Higuchi constant),0.1027655214326819
SNAHCO3RawData,NH4,2.0,52.0,51.0,50.0,36.4,31.7,32.0,1.21,1.22,1.19,36.4,31.7,32.0,33.36666667,45.3968254,0.453968254,0.5460317459999999,-0.6050781620703197,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.3429745162941684,k_H (Higuchi constant),0.1027655214326819,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707,slope (1/beta),0.1395660500205335,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418,k (first-order),0.10328829490229048,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454,Higuchi Model,k_H (Higuchi constant),0.1027655214326819
SNAHCO3RawData,NH4,4.0,52.0,57.0,55.0,33.6,31.5,33.3,1.38,1.4,1.4,33.6,31.5,33.3,32.8,44.62585034,0.4462585034,0.5537414966,-0.5910573137677846,2.0,1.3862943611198906,0.6020599913279624,-0.35041349537383987,k_H (Higuchi constant),0.1027655214326819,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707,slope (1/beta),0.1395660500205335,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418,k (first-order),0.10328829490229048,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454,Higuchi Model,k_H (Higuchi constant),0.1027655214326819
SNAHCO3RawData,NH4,6.0,59.0,68.0,61.0,38.3,40.5,37.4,1.6,1.61,1.56,38.3,40.5,37.4,38.73333333,52.69841269,0.5269841269,0.47301587310000004,-0.7486263327023215,2.449489742783178,1.791759469228055,0.7781512503836436,-0.2782024658188756,k_H (Higuchi constant),0.1027655214326819,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707,slope (1/beta),0.1395660500205335,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418,k (first-order),0.10328829490229048,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454,Higuchi Model,k_H (Higuchi constant),0.1027655214326819
SNAHCO3RawData,NH4,24.0,85.0,86.0,89.0,57.0,55.8,58.2,2.21,2.0,2.2,57.0,55.8,58.2,57.0,77.55102041,0.7755102041,0.22448979589999996,-1.4939250253940743,4.898979485566356,3.1780538303479458,1.380211241711606,-0.11041248340141756,k_H (Higuchi constant),0.1027655214326819,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707,slope (1/beta),0.1395660500205335,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418,k (first-order),0.10328829490229048,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454,Higuchi Model,k_H (Higuchi constant),0.1027655214326819
SNAHCO3RawData,NH4,32.0,98.0,87.0,94.0,57.5,62.3,60.6,2.48,2.41,2.45,57.5,62.3,60.6,60.13333333,81.81405895,0.8181405895,0.18185941049999998,-1.704521360194078,5.656854249492381,3.4657359027997265,1.505149978319906,-0.08717206063464722,k_H (Higuchi constant),0.1027655214326819,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707,slope (1/beta),0.1395660500205335,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418,k (first-order),0.10328829490229048,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454,Higuchi Model,k_H (Higuchi constant),0.1027655214326819
SNAHCO3RawData,NH4,48.0,99.0,99.0,99.0,73.5,73.2,73.5,2.92,2.94,2.93,73.5,73.2,73.5,73.4,99.86394558,0.9986394558,0.00136054419999998,-6.599870512212852,6.928203230275509,3.871201010907891,1.6812412373755872,-0.0005912791604324976,k_H (Higuchi constant),0.1027655214326819,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707,slope (1/beta),0.1395660500205335,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418,k (first-order),0.10328829490229048,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454,Higuchi Model,k_H (Higuchi constant),0.1027655214326819
SNAHCO3RawData,NH4,72.0,,,,73.5,73.5,73.5,3.3,3.3,3.3,73.5,73.5,73.5,73.5,100.0,1.0,,,,,,,k_H (Higuchi constant),0.1027655214326819,0.1027655214326819,0.26732553287728916,0.989357093856895,0.023543198972242656,3.9959783496566046,n (release exponent),0.2391211266809196,0.36363082176738937,0.2391211266809196,-0.43933931258926434,0.9723635007729132,0.0391514311270773,6.645157751345707,slope (1/beta),0.1395660500205335,0.1395660500205335,0.3502868175869257,0.9235004409777581,0.06311968498430448,10.713280507538418,k (first-order),0.10328829490229048,-0.10328829490229048,-0.05763815927548066,0.7818379175053071,0.1564982873182392,26.56239573132454,Higuchi Model,k_H (Higuchi constant),0.1027655214326819
