Time,Mg_1,Mg_2,Mg_3,NH4_1,NH4_2,NH4_3,PO4_1,PO4_2,PO4_3,NH4_1_corr,NH4_2_corr,NH4_3_corr,NH4_avg,NH4_pct,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,20.0,23.0,17.0,12.5,14.2,12.1,0.56,0.59,0.56,12.5,14.2,12.1,12.93333333,17.59637188,0.1759637188
1.0,22.0,22.0,27.0,14.5,14.4,14.1,0.57,0.58,0.58,14.5,14.4,14.1,14.33333333,19.50113378,0.1950113378
2.0,33.0,31.0,37.0,21.0,21.7,24.0,0.77,0.8,0.84,21.0,21.7,24.0,22.23333333,30.2494331,0.302494331
4.0,37.0,43.0,35.0,24.5,24.1,24.5,1.1,0.94,1.09,24.5,24.1,24.5,24.36666667,33.15192744,0.3315192744
6.0,45.0,46.0,45.0,25.7,26.6,25.2,1.02,1.05,1.03,25.7,26.6,25.2,25.83333333,35.14739229,0.3514739229
8.0,38.0,42.0,47.0,29.6,30.2,31.4,1.16,1.17,1.29,29.6,30.2,31.4,30.4,41.36054422,0.4136054422
24.5,72.0,82.0,84.0,59.4,57.6,60.7,2.33,2.27,2.3,59.4,57.6,60.7,59.23333333,80.58956916,0.8058956916
32.0,95.0,99.0,99.0,60.2,63.6,60.7,2.41,2.31,2.35,60.2,63.6,60.7,61.5,83.67346939,0.8367346939
48.5,,,,73.5,73.5,73.5,3.3,3.3,3.3,73.5,73.5,73.5,73.5,100.0,1.0
